iter	Passed	Remaining
347	1571	2944
348	1575	2938
349	1579	2933
350	1583	2927
351	1587	2921
352	1590	2915
353	1594	2909
354	1598	2903
355	1602	2898
356	1605	2891
357	1609	2886
358	1613	2880
359	1616	2874
360	1620	2868
361	1624	2863
362	1628	2857
363	1632	2851
364	1635	2845
365	1639	2840
366	1644	2835
367	1647	2829
368	1651	2824
369	1655	2819
370	1659	2813
371	1663	2808
372	1667	2802
373	1671	2797
374	1675	2791
375	1678	2785
376	1682	2780
377	1686	2775
378	1690	2769
379	1694	2764
380	1697	2758
381	1701	2753
382	1705	2747
383	1709	2742
384	1712	2736
385	1717	2731
386	1721	2726
387	1724	2720
388	1728	2714
389	1732	2709
390	1736	2704
391	1739	2698
392	1743	2692
393	1747	2687
394	1751	2682
395	1755	2676
396	1758	2671
397	1762	2665
398	1766	2660
399	1770	2655
400	1773	2649
401	1778	2645
402	1782	2640
403	1786	2635
404	1792	2633
405	1797	2629
406	1802	2625
407	1806	2621
408	1811	2616
409	1817	2615
410	1821	2610
411	1826	2606
412	1829	2600
413	1833	2595
414	1837	2590
415	1841	2585
416	1845	2580
417	1849	2575
418	1853	2569
419	1857	2564
420	1860	2559
421	1864	2553
422	1868	2548
423	1872	2543
424	1877	2539
425	1881	2535
426	1885	2530
427	1889	2525
428	1893	2520
429	1897	2514
430	1900	2509
431	1904	2504
432	1909	2499
433	1912	2494
434	1916	2489
435	1920	2484
436	1924	2479
437	1928	2474
438	1932	2469
439	1936	2464
440	1940	2459
441	1944	2454
442	1947	2449
443	1952	2444
444	1955	2439
445	1959	2433
446	1963	2428
447	1967	2424
448	1971	2418
449	1974	2413
450	1979	2409
451	1983	2404
452	1986	2399
453	1990	2393
454	1994	2388
455	1998	2383
456	2001	2378
457	2005	2373
458	2008	2367
459	2012	2362
460	2016	2357
461	2019	2352
462	2024	2347
463	2028	2343
464	2032	2338
465	2036	2334
466	2041	2329
467	2045	2325
468	2049	2320
469	2053	2315
470	2057	2311
471	2061	2306
472	2066	2302
473	2070	2297
474	2074	2293
475	2078	2288
476	2082	2283
477	2086	2278
478	2090	2273
479	2093	2268
480	2097	2263
481	2101	2258
482	2105	2253
483	2109	2248
484	2112	2243
485	2116	2238
486	2120	2233
487	2124	2229
488	2129	2225
489	2133	2220
490	2138	2216
491	2141	2211
492	2145	2206
493	2148	2201
494	2153	2196
495	2156	2191
496	2160	2186
497	2164	2181
498	2168	2177
499	2172	2172
500	2176	2167
501	2179	2162
502	2184	2158
503	2187	2153
504	2191	2148
505	2195	2143
506	2199	2138
507	2203	2133
508	2207	2129
509	2210	2124
510	2215	2119
511	2218	2114
512	2222	2109
513	2226	2105
514	2232	2101
515	2235	2097
516	2239	2092
517	2244	2088
518	2248	2083
519	2252	2078
520	2255	2073
521	2259	2069
522	2263	2064
523	2267	2059
524	2270	2054
525	2275	2050
526	2279	2046
527	2283	2041
528	2287	2036
529	2291	2032
530	2295	2027
531	2299	2022
532	2303	2018
533	2307	2013
534	2311	2009
535	2315	2004
536	2319	1999
537	2323	1995
538	2326	1990
539	2330	1985
540	2334	1980
541	2338	1975
542	2342	1971
543	2345	1966
544	2349	1961
545	2353	1957
546	2357	1952
547	2361	1947
548	2364	1942
549	2368	1937
550	2372	1933
551	2376	1928
552	2380	1923
553	2384	1919
554	2387	1914
555	2391	1909
556	2394	1904
557	2398	1899
558	2402	1895
559	2406	1890
560	2409	1885
561	2413	1880
562	2417	1876
563	2421	1871
564	2425	1867
565	2428	1862
566	2432	1857
567	2436	1853
568	2440	1848
569	2443	1843
570	2447	1839
571	2451	1834
572	2455	1829
573	2459	1825
574	2464	1821
575	2469	1817
576	2473	1812
577	2477	1808
578	2480	1803
579	2484	1799
580	2488	1794
581	2492	1789
582	2496	1785
583	2499	1780
584	2503	1776
585	2507	1771
586	2511	1767
587	2515	1762
588	2519	1758
589	2523	1753
590	2527	1749
591	2531	1744
592	2535	1740
593	2539	1735
594	2543	1731
595	2547	1726
596	2550	1721
597	2554	1717
598	2558	1712
599	2562	1708
600	2566	1703
601	2570	1699
602	2574	1694
603	2577	1690
604	2581	1685
605	2585	1681
606	2589	1676
607	2593	1672
608	2597	1667
609	2601	1663
610	2605	1658
611	2609	1654
612	2612	1649
613	2616	1645
614	2620	1640
615	2624	1635
616	2628	1631
617	2632	1627
618	2636	1622
619	2639	1617
620	2643	1613
621	2647	1608
622	2651	1604
623	2654	1599
624	2658	1594
625	2662	1590
626	2666	1586
627	2669	1581
628	2673	1576
629	2677	1572
630	2680	1567
631	2684	1563
632	2687	1558
633	2691	1553
634	2696	1549
635	2700	1545
636	2704	1540
637	2708	1536
638	2713	1533
639	2718	1529
640	2722	1524
641	2727	1520
642	2731	1516
643	2735	1512
644	2739	1507
645	2743	1503
646	2747	1499
647	2751	1494
648	2756	1490
649	2760	1486
650	2764	1481
651	2767	1477
652	2772	1473
653	2776	1468
654	2780	1464
655	2784	1460
656	2788	1455
657	2792	1451
658	2796	1447
659	2801	1442
660	2805	1438
661	2809	1434
662	2813	1429
663	2817	1425
664	2821	1421
665	2825	1416
666	2828	1412
667	2832	1407
668	2836	1403
669	2840	1398
670	2843	1394
671	2847	1389
672	2851	1385
673	2855	1381
674	2859	1376
675	2863	1372
676	2867	1367
677	2870	1363
678	2874	1358
679	2878	1354
680	2882	1350
681	2886	1345
682	2889	1341
683	2893	1336
684	2897	1332
685	2901	1328
686	2904	1323
687	2908	1318
688	2913	1314
689	2916	1310
690	2920	1305
691	2923	1301
692	2928	1297
693	2931	1292
694	2935	1288
695	2939	1283
696	2943	1279
697	2946	1275
698	2950	1270
699	2954	1266
700	2958	1261
701	2962	1257
702	2965	1252
703	2969	1248
704	2973	1244
705	2975	1239
706	2979	1234
707	2982	1230
708	2986	1225
709	2991	1221
710	2995	1217
711	2998	1213
712	3002	1208
713	3006	1204
714	3010	1199
715	3013	1195
716	3017	1191
717	3021	1186
718	3025	1182
719	3029	1177
720	3032	1173
721	3036	1169
722	3040	1164
723	3043	1160
724	3047	1155
725	3051	1151
726	3055	1147
727	3059	1142
728	3062	1138
729	3066	1134
730	3070	1129
731	3074	1125
732	3078	1121
733	3082	1116
734	3086	1112
735	3089	1108
736	3093	1103
737	3097	1099
738	3101	1095
739	3104	1090
740	3108	1086
741	3112	1082
742	3116	1078
743	3120	1073
744	3123	1069
745	3127	1064
746	3131	1060
747	3134	1056
748	3138	1051
749	3142	1047
750	3151	1045
751	3156	1040
752	3160	1036
753	3164	1032
754	3167	1027
755	3171	1023
756	3176	1019
757	3179	1015
758	3183	1010
759	3187	1006
760	3191	1002
761	3194	997
762	3198	993
763	3202	989
764	3206	984
765	3209	980
766	3213	976
767	3216	971
768	3220	967
769	3224	963
770	3227	958
771	3231	954
772	3235	950
773	3239	945
774	3242	941
775	3246	937
776	3251	933
777	3254	928
778	3258	924
779	3262	920
780	3267	916
781	3270	911
782	3275	907
783	3278	903
784	3283	899
785	3286	894
786	3291	890
787	3294	886
788	3299	882
789	3302	877
790	3306	873
791	3310	869
792	3314	865
793	3318	860
794	3321	856
795	3325	852
796	3329	847
797	3333	843
798	3337	839
799	3341	835
800	3345	831
801	3349	826
802	3353	822
803	3357	818
804	3362	814
805	3366	810
806	3370	805
807	3373	801
808	3378	797
809	3381	793
810	3385	788
811	3388	784
812	3393	780
813	3396	776
814	3400	771
815	3404	767
816	3407	763
817	3411	759
818	3415	754
819	3418	750
820	3423	746
821	3426	742
822	3430	737
823	3434	733
824	3439	729
825	3444	725
826	3448	721
827	3453	717
828	3457	713
829	3461	708
830	3465	704
831	3469	700
832	3472	696
833	3476	691
834	3479	687
835	3483	683
836	3487	679
837	3490	674
838	3494	670
839	3498	666
840	3502	662
841	3505	657
842	3509	653
843	3513	649
844	3517	645
845	3520	640
846	3524	636
847	3528	632
848	3532	628
849	3536	624
850	3540	619
851	3544	615
852	3548	611
853	3552	607
854	3556	603
855	3560	598
856	3564	594
857	3568	590
858	3572	586
859	3576	582
860	3580	578
861	3584	573
862	3588	569
863	3592	565
864	3596	561
865	3599	556
866	3603	552
867	3606	548
868	3610	544
869	3614	540
870	3617	535
871	3621	531
872	3625	527
873	3629	523
874	3632	518
875	3636	514
876	3640	510
877	3645	506
878	3649	502
879	3653	498
880	3657	493
881	3660	489
882	3663	485
883	3667	481
884	3671	477
885	3675	472
886	3678	468
887	3682	464
888	3686	460
889	3690	456
890	3693	451
891	3697	447
892	3701	443
893	3704	439
894	3708	435
895	3711	430
896	3715	426
897	3719	422
898	3722	418
899	3727	414
900	3731	409
901	3734	405
902	3738	401
903	3742	397
904	3746	393
905	3750	389
906	3754	384
907	3758	380
908	3763	376
909	3767	372
910	3771	368
911	3775	364
912	3779	360
913	3783	356
914	3787	351
915	3790	347
916	3794	343
917	3798	339
918	3802	335
919	3805	330
920	3809	326
921	3813	322
922	3817	318
923	3821	314
924	3825	310
925	3828	305
926	3832	301
927	3836	297
928	3840	293
929	3844	289
930	3848	285
931	3851	281
932	3856	276
933	3859	272
934	3863	268
935	3867	264
936	3871	260
937	3875	256
938	3879	252
939	3883	247
940	3887	243
941	3891	239
942	3894	235
943	3898	231
944	3902	227
945	3906	222
946	3910	218
947	3913	214
948	3918	210
949	3922	206
950	3926	202
951	3930	198
952	3934	194
953	3938	189
954	3942	185
955	3946	181
956	3950	177
957	3954	173
958	3957	169
959	3961	165
960	3965	160
961	3969	156
962	3972	152
963	3976	148
964	3981	144
965	3984	140
966	3988	136
967	3992	131
968	3996	127
969	4000	123
970	4004	119
971	4007	115
972	4012	111
973	4015	107
974	4019	103
975	4023	98
976	4027	94
977	4031	90
978	4034	86
979	4038	82
980	4042	78
981	4046	74
982	4050	70
983	4054	65
984	4058	61
985	4062	57
986	4066	53
987	4069	49
988	4074	45
989	4077	41
990	4081	37
991	4085	32
992	4089	28
993	4093	24
994	4097	20
995	4100	16
996	4105	12
997	4108	8
998	4112	4
999	4116	0
